Nom,Categorie,Prix_achat_fcfa,Prix_vente_fcfa,Prix_original_fcfa,Stock,Description,Image_url,Images,Marque,Etat,Region,Vendeur,Telephone
Honor T10 – 64 Go – RAM 4 Go,Téléphones & Accessoires,66900,74900,,5,"Le Honor T10 est un smartphone conçu pour les besoins quotidiens : appels, messagerie, réseaux sociaux, navigation Internet, vidéos et applications mobiles. Cette version dispose de 4 Go de RAM et 64 Go de stockage, avec la possibilité d’utiliser une carte mémoire selon la configuration. Il prend en charge la 4G et dispose d’un grand écran de 6,75 pouces.",https://www.soumari.com/wp-content/uploads/2026/08/Honor-T10-64-Go-RAM-4-Go-300x300.jpg,,,Neuf,Dakar,,
Honor X7E – 256 Go – RAM 6 Go,Téléphones & Accessoires,134600,150800,,5,"Le Honor X7e est un smartphone conçu pour offrir une bonne expérience au quotidien, avec un grand écran fluide à 120 Hz, une importante batterie de 7500 mAh et 6 Go de RAM associés à 256 Go de stockage. Il est équipé  d’un appareil photo principal de 50 MP et d’une caméra frontale de 5 MP. Le téléphone prend en charge le Wi-Fi   et le Bluetooth.",https://www.soumari.com/wp-content/uploads/2026/08/Honor-X7E-256-Go-RAM-6-Go-1-1-300x300.jpg,,,Neuf,Dakar,,
Honor X7E – 128 Go – RAM 6 Go,Téléphones & Accessoires,120600,135100,,5,"Le Honor X7e est un smartphone conçu pour offrir une bonne expérience au quotidien, avec un grand écran fluide à 120 Hz, une importante batterie de 7500 mAh et 6 Go de RAM associés à 128 Go de stockage. Il est équipé  d’un appareil photo principal de 50 MP et d’une caméra frontale de 5 MP. Le téléphone prend en charge le Wi-Fi   et le Bluetooth.",https://www.soumari.com/wp-content/uploads/2026/08/Honor-X7E-128-Go-RAM-6-Go-1-1-300x300.jpg,,,Neuf,Dakar,,
Honor X5C- 64 Go – RAM 4 Go,Téléphones & Accessoires,63000,70600,,5,"Le HONOR X5C est le smartphone idéal pour les Sénégalais qui recherchent un téléphone fiable et performant à prix accessible. Avec son grand écran 6,74 pouces 90Hz et sa batterie longue durée de 5260mAh, il accompagne vos journées à Dakar et partout au Sénégal sans compromis.",https://www.soumari.com/wp-content/uploads/2026/08/Honor-X5C-64-Go-RAM-4-Go-1-300x300.jpg,,,Neuf,Dakar,,
Redmi A7 pro – 64 Go – RAM 4 Go,Téléphones & Accessoires,75000,84000,,5,"Le Redmi A7 Pro 64 Go / 4 Go RAM est un smartphone conçu pour offrir une expérience confortable au quotidien. Son grand écran de 6,9 pouces avec un taux de rafraîchissement jusqu’à 120 Hz offre une navigation plus fluide pour les applications, les vidéos et les réseaux sociaux. Il embarque 4 Go de RAM et 64 Go de stockage, avec possibilité d’extension par carte microSD selon la version. Son processeur Unisoc T7250 octa-core convient aux tâches quotidiennes, tandis que sa batterie de 6000 mAh favorise une bonne autonomie.",https://www.soumari.com/wp-content/uploads/2026/08/Redmi-A7-pro-64-Go-RAM-4-Go-1-300x300.jpg,,,Neuf,Dakar,,
Redmi A7 pro – 128 Go – RAM 4 Go,Téléphones & Accessoires,81300,91100,,5,"Le Redmi A7 Pro 128 Go / 4 Go RAM est un smartphone conçu pour offrir une expérience confortable au quotidien. Son grand écran de 6,9 pouces avec un taux de rafraîchissement jusqu’à 120 Hz offre une navigation plus fluide pour les applications, les vidéos et les réseaux sociaux. Il embarque 4 Go de RAM et 128 Go de stockage, avec possibilité d’extension par carte microSD selon la version. Son processeur Unisoc T7250 octa-core convient aux tâches quotidiennes, tandis que sa batterie de 6000 mAh favorise une bonne autonomie.",https://www.soumari.com/wp-content/uploads/2026/08/Redmi-A7-pro-128-Go-RAM-4-Go-1-300x300.jpg,,,Neuf,Dakar,,
Redmi A7 – 64 Go – RAM 3 Go,Téléphones & Accessoires,66500,74500,,5,"Le Xiaomi Redmi A7 est un smartphone qui surprend par ses caractéristiques modernes. Son écran de 6,88 pouces avec un taux de rafraîchissement de 120 Hz et sa batterie longue durée en font un choix idéal pour un usage quotidien fluide et agréable. Il convient parfaitement à la navigation sur Internet, aux réseaux sociaux, à la messagerie, aux appels, aux vidéos et aux applications courantes.",https://www.soumari.com/wp-content/uploads/2026/08/Redmi-A7-64-Go-RAM-3-Go-1-1-300x300.jpg,,,Neuf,Dakar,,
Téléphone Honor X9D – 256 Go – RAM 12 Go,Téléphones & Accessoires,183000,205000,,5,"Le HONOR X9D est un smartphone haut de gamme conçu pour les utilisateurs exigeants à la recherche de puissance, fluidité et design premium. Grâce à sa RAM de 12 Go, il offre une expérience ultra fluide, idéale pour le multitâche intensif, les jeux mobiles et les applications gourmandes. Son stockage interne de 256 Go permet de conserver une grande quantité de contenus sans contrainte.",https://www.soumari.com/wp-content/uploads/2026/04/Telephone-Honor-X9D-256gb-ram-12-1-300x300.webp,,,Neuf,Dakar,,
Téléphone Honor X8D – 256 Go – RAM 8 Go,Téléphones & Accessoires,131200,146900,,5,"Le HONOR X8D est un smartphone moderne qui allie puissance, finesse et grande capacité de stockage. Conçu pour les utilisateurs exigeants, il offre une expérience fluide et immersive, idéale pour le multitâche, le divertissement et les usages quotidiens intensifs.Avec ses 256 Go de stockage interne, vous disposez d’un espace suffisant pour conserver toutes vos applications, photos, vidéos et fichiers sans compromis. Sa RAM de 8 Go garantit une navigation rapide et fluide, même avec plusieurs applications ouvertes simultanément.",https://www.soumari.com/wp-content/uploads/2026/04/Telephone-Honor-X8D-256gb-ram-8-1-300x300.webp,,,Neuf,Dakar,,
Téléphone HONOR X7D – 256 Go – RAM 8 Go,Téléphones & Accessoires,106500,119300,,5,"Le HONOR X7D est un smartphone moderne conçu pour offrir une expérience utilisateur fluide, rapide et durable. Idéal pour les utilisateurs exigeants, il combine performance, grande capacité de stockage et autonomie. Avec ses 256 Go de stockage interne, ce téléphone vous permet de conserver sans limite vos photos, vidéos, applications et fichiers professionnels. Sa RAM de 8 Go garantit une excellente fluidité, même en multitâche ou lors de l’utilisation d’applications gourmandes.",https://www.soumari.com/wp-content/uploads/2026/04/Telephone-HONOR-X7D-256gb-ram-8-1-300x300.webp,,,Neuf,Dakar,,
