id,nom,profession,email,telephone,status,admin_approved,created_at
"32bdf4c3-d0ac-4446-9d81-b7382572d85e","ATLAS IMMO Sénégal","Agence immobilière","atlas.immo.senegal.3b28@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"3e70b012-8045-4319-a25a-f97db0921411","Ilios Groupe Immobilier","Agence immobilière","ilios.groupe.immobilier.d356@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"0cb7f8ac-5346-4286-9495-1d6d38527116","Saloum Immobilier","Agence immobilière","saloum.immobilier.1acd@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"ffd6d732-f087-4ebf-84c3-d6147bf5acb2","Senafri IMMO","Agence immobilière","senafri.immo.b359@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"2f24b9ec-dc93-40c9-bc81-1192e2cf1ab6","Senegindia Immobilier","Agence immobilière","senegindia.immobilier.bc1c@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"f7ee8883-ddd6-47bc-bab7-5d341f1a19fe","Réalités Sénégal (promoteur)","Agence immobilière","realites.senegal.promoteur.4b7b@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"7884e758-4e1e-40e5-8ce9-9f2e3e0f92c0","SenHub Immo (plateforme)","Agence immobilière","senhub.immo.plateforme.74dd@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"c0bcea3a-75e5-483f-b544-2fdd95563045","Appartement Meublé SN","Agence immobilière","appartement.meuble.sn.86dc@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"dfd25729-0725-4527-9011-253521075c91","Appartements meublés Dakar","Agence immobilière","appartements.meubles.dakar.a7c6@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"c19cd484-200b-4ae7-8e47-8f3756ab5e59","Appartement Meublé Dakar SN","Agence immobilière","appartement.meuble.dakar.sn.32be@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"26a1804c-21c3-460c-b1cd-0d40804e9654","Location Appartement Meublé Dakar Liberté 6","Agence immobilière","location.appartement.meuble.dakar.liberte.6.0471@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"939eb6ab-4b04-4156-a2e3-dc2b3ff83306","OFIM Sénégal","Agence immobilière","ofim.senegal.cd46@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"07b40887-3112-469d-bbcd-58a72dd68185","A2D Immobilier (Ngor Almadies)","Agence immobilière","a2d.immobilier.ngor.almadies.9b1f@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"05065704-cb87-4f4b-93ce-dcde3961f6ad","Ges IMMO","Agence immobilière","ges.immo.cc07@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"e6dc7382-e68a-490a-8ba8-f8949d4dacb7","AFD Immobilier","Agence immobilière","afd.immobilier.e94e@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"f21675ba-eee6-4522-8a32-aeb341f680ef","","Agence immobilière","prospect.3662@nexusmarket.sn","+221 76 683 36 62","approved","true","2026-08-12T13:38:05.685741+00:00"
"20660995-43c6-4ced-ab71-970724562a9f","UVC Immobilier","Agence immobilière","uvc.immobilier.6662@nexusmarket.sn","+221 33 825 66 62","approved","true","2026-08-12T13:38:05.685741+00:00"
"fc7fe104-f9d3-4597-b507-17e9e9764440","COMPLEXE ADJA FATOU DIAW","Carreleur","prospect_221776370151@nexusmarket.sn","+221 77 637 01 51","active","false","2026-08-11T22:29:56.722095+00:00"
"34e22a62-bdfe-4d5a-ae99-4217aee9bf7b","ImmoTop Saly","Agence immobilière","immotop.saly.5655@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"788cdab4-4adf-4d80-b482-ba65ff4a5937","Agence Immobilière Saly Sénégal (Sali Portudal)","Agence immobilière","agence.immobiliere.saly.senegal.sali.portudal.8092@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"1a5cc9c7-7009-4f11-8841-88f533b08156","Immobilier La Lagune","Agence immobilière","immobilier.la.lagune.779a@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"c42a91ef-badc-4748-ba2c-45235e539897","Agence Immobilière Saint-Louis du Sénégal","Agence immobilière","agence.immobiliere.saint.louis.du.senegal.e95d@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"9bf63da5-6d6d-49ed-bdb3-c6ab16208000","Agence immobilière bamtaare Mbour","Agence immobilière","agence.immobiliere.bamtaare.mbour.ead3@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"0bf0ac39-1f60-490e-aa8e-f5c8f1dabd03","L'immobilier à Ziguinchor","Agence immobilière","l.immobilier.a.ziguinchor.91a9@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"d62b31f6-3652-4b94-aea8-b1f37d9f2330","SAINT LOUIS Immobilier","Agence immobilière","saint.louis.immobilier.79df@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"5b9c8cc5-1dfd-4cde-89ce-f927570f9638","Agence Immobilière CGBI (Ngor Almadies)","Agence immobilière","agence.immobiliere.cgbi.ngor.almadies.22d9@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"d12344d1-2369-44a2-81dc-7bf8b364216a","Baraka IMMO","Agence immobilière","baraka.immo.83b6@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"d2dfec9a-2510-4539-9bb4-a57804de7045","Centrale Immobilière Africaine","Agence immobilière","centrale.immobiliere.africaine.6d3d@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"7a7b1473-5a6a-4f8a-9f15-77d19d9aad1a","Régie Immobilière Mugnier","Agence immobilière","regie.immobiliere.mugnier.f24c@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"16e8473b-65fb-4029-a724-2777c8bd42c0","2SImmobilier","Agence immobilière","2simmobilier.dba3@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"cb276db2-0f66-4a81-989a-dabcddec3bda","Immobilier au Sénégal (SenAnnonceImmo)","Agence immobilière","immobilier.au.senegal.senannonceimmo.d2a8@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"81378335-7eef-4745-80d0-4990da6ffe1e","DHS-Immo","Agence immobilière","dhs.immo.9b6f@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"ef215273-de91-4a36-bd0a-77e7bebd208c","Pro Immobilier Saint-Louis","Agence immobilière","pro.immobilier.saint.louis.a9bb@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"8d0813d3-0708-4255-bed4-4ad2e677ccb9","Immobilier Cap Skirring","Agence immobilière","immobilier.cap.skirring.608b@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"88153e3f-23a9-438b-bf12-60fe674f03bb","Agence immobilière La Casamance","Agence immobilière","agence.immobiliere.la.casamance.76bc@nexusmarket.sn","Voir carte","approved","true","2026-08-12T13:38:05.685741+00:00"
"3a02be0d-a4b3-41a6-85eb-d9f791c4f6c6","CASAMANCE IMMO COUP DE KEUR","Agence immobilière","casamance.immo.coup.de.keur.ffc3@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"d95ab6e9-7436-4f2d-a368-8fc9b7362883","L'Immobilière de Saint-Louis","Agence immobilière","l.immobiliere.de.saint.louis.7414@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
"168204d8-7641-4c1f-bc1b-0d76a607e501","","Agence immobilière","prospect.646661@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"2342a744-8c42-4737-a1d6-8ac05323c005","","Agence immobilière","prospect.9746@nexusmarket.sn","+221 33 954 97 46","approved","true","2026-08-12T13:38:05.685741+00:00"
"546d831a-029a-4762-bc34-7d95116d51ed","","Agence immobilière","prospect.3561@nexusmarket.sn","+221 77 569 35 61","approved","true","2026-08-12T13:38:05.685741+00:00"
"e1b2a6bf-da33-401b-a7d2-eb05a1b1862b","Agence immobilière casa","Agence immobilière","agence.immobiliere.casa.5380@nexusmarket.sn","Voir Facebook","approved","true","2026-08-12T13:38:05.685741+00:00"
"d149348a-f7bb-4f14-96ba-5e37f375389f","","Agence immobilière","prospect.5994@nexusmarket.sn","+221 77 532 59 94","approved","true","2026-08-12T13:38:05.685741+00:00"
"5fffb3fc-dd80-4362-b62a-65882cb59b6f","Cabinet Kany","Agence immobilière","cabinet.kany.bf83@nexusmarket.sn","Voir site","approved","true","2026-08-12T13:38:05.685741+00:00"
